id;name;type;starts;ends;;slot;;dauer;
1;Milonga;milonga;2018-04-27T20:00;2018-04-28T01:00;Freitag, 27. April 2018 20:00;20:00;5;5h;27.4.2018
2;Vals;workshop;2018-04-28T12:30;2018-04-28T14:30;Samstag, 28. April 2018 12:30;12:30;2;2h;28.4.2018
3;Enrosques;workshop;2018-04-28T12:30;2018-04-28T14:30;Samstag, 28. April 2018 12:30;12:30;2;2h;28.4.2018
4;Beginners;workshop;2018-04-28T13:00;2018-04-28T17:00;Samstag, 28. April 2018 13:00;13:00;4;4h;28.4.2018
5;Giros;workshop;2018-04-28T15:00;2018-04-28T17:00;Samstag, 28. April 2018 15:00;15:00;2;2h;28.4.2018
6;Lápices, Boleos, Planeos;workshop;2018-04-28T15:00;2018-04-28T17:00;Samstag, 28. April 2018 15:00;15:00;2;2h;28.4.2018
7;Musicality;workshop;2018-04-28T17:30;2018-04-28T19:30;Samstag, 28. April 2018 17:30;17:30;2;2h;28.4.2018
8;Colgadas y Volcadas;workshop;2018-04-28T17:30;2018-04-28T19:30;Samstag, 28. April 2018 17:30;17:30;2;2h;28.4.2018
9;Milonga;milonga;2018-04-28T20:00;2018-04-29T01:00;Samstag, 28. April 2018 20:00;20:00;5;5h;28.4.2018
10;Barridas y Sacadas;workshop;2018-04-29T12:30;2018-04-29T14:30;Sonntag, 29. April 2018 12:30;12:30;2;2h;29.4.2018
11;Sacadas;workshop;2018-04-29T12:30;2018-04-29T14:30;Sonntag, 29. April 2018 12:30;12:30;2;2h;29.4.2018
12;Beginners;workshop;2018-04-29T13:00;2018-04-29T17:00;Sonntag, 29. April 2018 13:00;13:00;4;4h;29.4.2018
13;Milonga;workshop;2018-04-29T15:00;2018-04-29T17:00;Sonntag, 29. April 2018 15:00;15:00;2;2h;29.4.2018
14;Boleos;workshop;2018-04-29T15:00;2018-04-29T17:00;Sonntag, 29. April 2018 15:00;15:00;2;2h;29.4.2018
15;Ganchos;workshop;2018-04-29T17:30;2018-04-29T19:30;Sonntag, 29. April 2018 17:30;17:30;2;2h;29.4.2018
16;Musicality and Rhythm;workshop;2018-04-29T17:30;2018-04-29T19:30;Sonntag, 29. April 2018 17:30;17:30;2;2h;29.4.2018
17;Milonga;milonga;2018-04-29T20:00;2018-04-30T01:00;Sonntag, 29. April 2018 20:00;20:00;5;5h;29.4.2018
18;Milonga;milonga;2018-04-30T20:00;2018-05-01T01:00;Montag, 30. April 2018 20:00;20:00;5;5h;30.4.2018
